,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
10012,XM_006565973.3,0.812811001,0.925575133,-0.024501577,0.103468964,12.7014934,0.029361434,0.000342206,0.031775274,0.010813287,0.031775274
10013,XM_006564066.3,0.812986457,0.925682472,-0.026267421,0.111032071,10.48262994,0.033810323,0.001504961,0.035479402,0.016251963,0.035479402
10014,XR_410593.3,0.813587875,0.926121435,0.037969505,0.161024198,7.463486603,0.053881584,0.012419907,0.04641733,0.06536647,0.06536647
10015,XM_397416.6,0.813608929,0.926121435,0.032415501,0.137486141,10.9972433,0.051838678,0.001082999,0.055624317,0.012672394,0.055624317
10016,XM_003249680.4,0.813764394,0.926121435,-0.093734363,0.39790023,9.426421219,0.434190563,0.00376378,0.47121,0.030306785,0.47121
10017,XM_026439402.1,0.813751932,0.926121435,-0.06520102,0.276757974,6.062074073,0.2100548,0.034708002,0.195076926,0.091381323,0.195076926
10018,XM_003249975.4,0.8139406,0.926121435,0.019730678,0.083837083,11.51882107,0.019275236,0.000675928,0.020410042,0.010876264,0.020410042
10019,XM_026440836.1,0.81386283,0.926121435,0.015406826,0.065436857,11.1624165,0.006764737,0.000943033,0.006426966,0.011902913,0.011902913
10020,XR_003304907.1,0.813878919,0.926121435,-0.127285568,0.540663024,2.903772518,0.801645456,0.435809515,0.441140002,0.254371723,0.441140002
10021,XM_396914.7,0.814147507,0.926195068,0.015183602,0.06458939,13.42289876,0.011334902,0.000190039,0.012209191,0.012325329,0.012325329
10022,XM_026441416.1,0.81416779,0.926195068,-0.087221521,0.371072111,8.14308325,0.377605285,0.009361792,0.403721744,0.05376801,0.403721744
10023,XM_016915284.2,0.81494307,0.926608784,-0.046716302,0.199596269,6.169163817,0.069425016,0.030734848,0.044977946,0.088781164,0.088781164
10024,XM_006566914.3,0.81485254,0.926608784,0.019761606,0.084389783,10.1533331,0.004951781,0.001614776,0.003715026,0.01975013,0.01975013
10025,XM_393524.6,0.814953728,0.926608784,-0.014600696,0.062385406,13.04231325,0.009274206,0.000240227,0.009897446,0.01143559,0.01143559
10026,XM_394075.6,0.815152507,0.926608784,-0.016910554,0.072334028,10.70743793,0.006875076,0.001154563,0.006322231,0.014542072,0.014542072
10027,XM_026439034.1,0.815116884,0.926608784,-0.102620657,0.438868472,9.469999948,0.528159916,0.003147037,0.574669571,0.02966177,0.574669571
10028,XM_001120447.5,0.815057964,0.926608784,0.026379334,0.112777504,10.17508879,0.034877324,0.001748024,0.036408272,0.019472347,0.036408272
